"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","822","Увеличение каунтера ингредиента, при добавлении этого ингредиента в заказ","tests","Fri Mar 14 23:56:54 MSK 2025","passed","Fri Mar 14 23:56:55 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","2136","Оформление заказа залогиненным пользователем","tests","Fri Mar 14 23:56:59 MSK 2025","passed","Fri Mar 14 23:57:01 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","8977","Отображение заказов пользователя из раздела «История заказов» на странице «Лента заказов»","tests","Fri Mar 14 23:57:46 MSK 2025","passed","Fri Mar 14 23:57:55 MSK 2025","TestOrderFeed","test_order_feed","",""
"","3135","Счётчик Выполнено за всё время увеличивается, при создании нового заказа","tests","Fri Mar 14 23:58:26 MSK 2025","passed","Fri Mar 14 23:58:29 MSK 2025","TestOrderFeed","test_order_feed","",""
"","4347","Счётчик Выполнено за сегодня увеличивается, при создании нового заказа","tests","Fri Mar 14 23:58:54 MSK 2025","passed","Fri Mar 14 23:58:58 MSK 2025","TestOrderFeed","test_order_feed","",""
"","940","Закрывание кликом по крестику всплывающего окна","tests","Fri Mar 14 23:56:23 MSK 2025","passed","Fri Mar 14 23:56:24 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","4100","Счётчик Выполнено за всё время увеличивается, при создании нового заказа","tests","Fri Mar 14 23:58:14 MSK 2025","passed","Fri Mar 14 23:58:18 MSK 2025","TestOrderFeed","test_order_feed","",""
"","1302","Ввод почты и клик по кнопке «Восстановить»","tests","Fri Mar 14 23:59:26 MSK 2025","passed","Fri Mar 14 23:59:28 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"","12653","Счётчик Выполнено за сегодня увеличивается, при создании нового заказа","tests","Fri Mar 14 23:58:33 MSK 2025","passed","Fri Mar 14 23:58:46 MSK 2025","TestOrderFeed","test_order_feed","",""
"","10578","Выход из аккаунта","tests","Fri Mar 14 23:54:50 MSK 2025","passed","Fri Mar 14 23:55:00 MSK 2025","TestAccount","test_account","",""
"","6076","Отображение заказов пользователя из раздела «История заказов» на странице «Лента заказов»","tests","Fri Mar 14 23:58:03 MSK 2025","passed","Fri Mar 14 23:58:09 MSK 2025","TestOrderFeed","test_order_feed","",""
"","1082","Переход по клику на «Лента заказов»","tests","Fri Mar 14 23:55:30 MSK 2025","passed","Fri Mar 14 23:55:31 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","1781","Ввод почты и клик по кнопке «Восстановить»","tests","Fri Mar 14 23:59:17 MSK 2025","passed","Fri Mar 14 23:59:18 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"","1596","Переход в раздел ""История заказов""","tests","Fri Mar 14 23:54:44 MSK 2025","passed","Fri Mar 14 23:54:45 MSK 2025","TestAccount","test_account","",""
"","1170","Закрывание кликом по крестику всплывающего окна","tests","Fri Mar 14 23:56:14 MSK 2025","passed","Fri Mar 14 23:56:16 MSK 2025","TestBasicFunctionality","test_basic_functionality","",""
"","2094","Переход в раздел ""История заказов""","tests","Fri Mar 14 23:54:34 MSK 2025","passed","Fri Mar 14 23:54:36 MSK 2025","TestAccount","test_account","",""
"","17539","Всплывающее окно с деталями, при клике на заказ","tests","Fri Mar 14 23:57:25 MSK 2025","passed","Fri Mar 14 23:57:42 MSK 2025","TestOrderFeed","test_order_feed","",""
